time,retransmissions
0.8468379974365234,1
0.847174882888794,2
0.8474228382110596,3
0.847930908203125,4
1.9119069576263428,5
1.9122869968414307,6
1.9126768112182617,7
2.5395729541778564,8
2.5399727821350098,9
3.4930388927459717,10
3.493433713912964,11
3.494130849838257,12
3.4944608211517334,13
4.227467060089111,14
4.227874994277954,15
4.852230787277222,16
4.852642059326172,17
4.853319883346558,18
4.8536248207092285,19
4.853905916213989,20
4.854360103607178,22
4.854400873184204,22
4.854655027389526,23
6.155642747879028,24
6.156027793884277,25
6.156982898712158,26
6.157242774963379,27
6.1574928760528564,28
6.157969951629639,30
6.158005952835083,30
6.158339023590088,31
6.1586689949035645,32
6.158928871154785,33
6.159154891967773,34
6.159449815750122,35
6.1595237255096436,36
7.986990690231323,37
7.987298011779785,38
7.988065958023071,39
7.9883928298950195,40
7.988652944564819,41
7.989054918289185,43
7.989089012145996,43
7.989357948303223,44
7.989696025848389,45
7.989895820617676,46
7.990113973617554,47
7.990438938140869,48
7.9904890060424805,49
7.990822792053223,50
7.9910478591918945,51
7.991322755813599,52
7.991836786270142,54
7.99186897277832,54
7.992240905761719,55
7.992580890655518,56
7.993376970291138,57
7.993746995925903,58
8.506727933883667,59
8.507033109664917,60
8.507363080978394,61
8.507580757141113,62
11.373374938964844,63
11.373799800872803,64
11.375908851623535,65
11.376202821731567,66
11.390246868133545,67
11.39126181602478,68
11.391599893569946,69
11.391848802566528,70
11.392287015914917,72
11.392358779907227,72
11.392622709274292,73
11.393040895462036,74
11.393287897109985,75
11.393520832061768,76
11.393900871276855,77
12.020456790924072,78
13.76490592956543,79
13.766045808792114,80
13.780341863632202,81
13.780587911605835,82
13.781426906585693,83
13.78164792060852,84
13.781904935836792,85
13.782281875610352,87
13.782328844070435,87
13.782575845718384,88
13.783001899719238,89
13.783238887786865,90
13.783450841903687,91
13.783805847167969,93
13.783828020095825,93
13.784047842025757,94
13.784490823745728,95
13.784724950790405,96
13.785021781921387,97
13.78548288345337,98
14.494400978088379,99
14.49488377571106,100
14.495770931243896,101
14.496035099029541,102
14.496311902999878,103
14.496774911880493,105
14.496809959411621,105
14.497325897216797,106
15.590622901916504,107
15.59110689163208,108
15.591903924942017,109
15.592355012893677,110
16.117079973220825,111
16.117547035217285,112
16.620190858840942,113
16.62066674232483,114
17.122543811798096,115
17.122992753982544,116
17.624611854553223,117
17.624923944473267,118
18.127729892730713,119
18.128226041793823,120
18.63073205947876,121
18.631295919418335,122
19.13387393951416,123
19.134354829788208,124
19.636858701705933,125
19.637329816818237,126
20.139848947525024,127
20.14030385017395,128
20.642876863479614,129
20.643314838409424,130
21.14586091041565,131
21.146469831466675,132
21.64880681037903,133
21.649274826049805,134
22.15166997909546,135
22.152365922927856,136
22.654433012008667,137
22.654887914657593,138
23.156943798065186,139
23.15740180015564,140
23.660034894943237,141
23.6606867313385,142
24.1631920337677,143
24.163848876953125,144
24.666241884231567,145
24.6666259765625,146
25.168302059173584,147
25.168822050094604,148
25.67106795310974,149
25.67228889465332,150
26.174467086791992,151
26.174892902374268,152
26.677361965179443,153
26.67785382270813,154
27.180185794830322,155
27.180646896362305,156
27.68312382698059,157
27.68359875679016,158
28.18607473373413,159
28.18658995628357,160
28.689473867416382,161
28.69003701210022,162
29.192584991455078,163
29.19304585456848,164
29.695603847503662,165
29.696157932281494,166
30.198521852493286,167
30.198987007141113,168
30.70096468925476,169
30.701399087905884,170
31.20391297340393,171
31.20439600944519,172
31.706442832946777,173
31.706690073013306,174
32.20920968055725,175
32.20994305610657,176
32.71252393722534,177
32.712974071502686,178
33.215558767318726,179
33.21602392196655,180
33.718480825424194,181
33.71891975402832,182
34.221431016922,183
34.22191882133484,184
34.724180936813354,185
34.724716901779175,186
35.22669172286987,187
35.22714686393738,188
35.729564905166626,189
35.730019092559814,190
36.23228907585144,191
36.23279094696045,192
36.7351279258728,193
36.73563075065613,194
37.2381067276001,195
37.23857307434082,196
37.73976278305054,197
37.739985942840576,198
38.24236583709717,199
38.24284291267395,200
38.74525594711304,201
38.745753049850464,202
39.24764108657837,203
39.24786305427551,204
39.2485408782959,205
39.248618841171265,206
39.758015871047974,207
39.75844597816467,208
40.26050090789795,209
40.2608277797699,210
40.7627649307251,211
40.76310181617737,212
41.26490068435669,213
41.26515579223633,214
41.76760983467102,215
41.768168926239014,216
42.27067184448242,217
42.27114486694336,218
42.77370500564575,219
42.77419590950012,220
43.2764847278595,221
43.27691578865051,222
43.779468059539795,223
43.779958963394165,224
44.2820680141449,225
44.28251886367798,226
44.78447675704956,227
44.78470706939697,228
45.28686285018921,229
45.287314891815186,230
45.790087938308716,231
45.79037165641785,232
45.790574073791504,233
45.79082894325256,234
46.29332780838013,235
46.29383087158203,236
46.79647779464722,237
46.797000885009766,238
47.29966592788696,239
47.30015206336975,240
47.80227994918823,241
47.802671909332275,242
48.305354833602905,243
