RTT,cwnd
1,2
2,4
3,8
4,12
2,13
3,3
5,6
7,7
10,8
12,9
14,9
6,10
14,11
18,11
8,12
19,13
25,14
28,15
30,16
31,16
9,17
13,4
18,8
25,8
15,9
30,10
33,10
14,11
32,7
45,8
48,9
49,10
52,11
53,12
53,13
54,14
55,14
15,15
35,7
68,6
65,7
62,8
63,9
64,10
64,11
68,12
67,13
68,14
69,15
69,16
71,17
73,18
74,18
17,19
39,7
77,6
171,7
328,6
193,6
41,7
49,4
60,5
70,6
80,7
86,8
89,9
91,10
91,11
95,12
93,13
94,14
96,15
101,16
100,17
103,18
104,19
103,20
104,21
107,22
114,23
114,24
108,24
86,4
32,23
71,7
138,6
133,7
120,7
38,8
68,9
99,10
117,11
121,12
123,13
124,14
126,15
129,16
134,17
132,18
132,18
176,3
32,17
71,7
158,7
347,6
203,7
158,8
152,8
50,9
98,6
120,7
135,8
142,9
143,10
148,11
149,11
83,5
