RTT,cwnd
1,2
2,4
5,5
7,6
8,7
10,7
4,8
9,9
12,9
19,3
28,4
21,5
22,6
9,7
10,8
18,5
23,6
29,7
33,8
36,9
37,9
24,5
18,7
20,2
24,4
26,4
42,4
51,5
53,5
31,6
45,7
52,8
57,9
60,10
63,11
63,11
31,6
35,10
55,11
22,8
25,5
33,4
44,5
57,6
90,4
134,4
117,5
45,6
78,5
85,6
91,7
93,7
35,8
78,7
87,7
75,4
68,6
89,7
101,8
66,6
72,6
90,7
104,7
61,4
52,5
65,4
82,5
98,6
111,7
119,8
124,9
130,10
132,11
133,11
66,7
55,6
91,7
114,8
128,9
138,10
139,10
186,3
57,9
111,6
129,7
59,8
116,6
70,7
119,5
135,6
139,6
67,7
111,8
140,9
143,9
75,6
141,8
174,9
174,9
265,4
108,5
184,5
180,5
70,6
95,6
76,7
126,8
161,9
177,9
73,10
123,10
70,11
91,11
58,10
109,7
130,7
75,8
128,5
159,6
183,7
187,7
80,8
102,8
135,3
86,7
110,4
139,5
93,6
159,5
166,5
105,6
129,4
158,5
189,6
194,6
98,7
148,6
157,6
95,7
137,6
100,7
151,7
102,8
179,9
232,10
239,10
119,6
168,8
149,8
124,9
213,10
253,11
74,12
145,6
243,6
163,6
270,5
321,6
298,7
293,8
294,8
113,6
256,10
279,10
368,3
106,9
206,6
239,6
139,7
197,7
218,3
425,6
554,6
523,6
146,7
250,5
284,6
300,7
310,8
312,8
138,9
206,5
253,6
261,6
135,7
213,6
109,7
187,8
258,8
165,4
146,5
211,6
245,6
184,7
225,7
338,4
157,5
204,5
259,6
307,7
331,7
155,8
234,4
135,7
223,6
201,5
293,6
349,6
149,7
290,6
135,8
300,6
327,6
226,7
242,7
190,5
209,6
296,7
355,8
377,8
